ID,Company,Initiative,Type,CIQ,CIQ_name,Country,Industry,Ultimate_parent,Count_member,Count_group,Country_listed,Country_match
8359,Energetics,TNFD Forum,Climate Change,IQ46301724,Energetics Inc.,US,Industrials,"QuantumSphere, Inc.",2,2,,
10553,Energetics,Investor Group on Climate Change,,IQ46301724,Energetics Inc.,US,Industrials,"QuantumSphere, Inc.",2,2,,
8360,Energise,TNFD Forum,Climate Change,IQ570951352,PT Energi Sejahtera Mas,ID,0,Golden Agri-Resources Ltd,1,1,,
2355,Energize Ventures,UNPRI,General,IQ654159251,Energize Ventures LLC,US,Financials,Energize Ventures LLC,1,1,US,TRUE
8361,Energo Pro,TNFD Forum,Climate Change,IQ27848207,ENERGO - PRO a.s.,CZ,Utilities,"DK Holding Investments, s.r.o.",1,1,,
2356,Energy Impact Partners,UNPRI,General,IQ314347944,Energy Impact Partners LLC,US,Financials,Energy Impact Partners LLC,1,1,US,TRUE
2357,Energy Infrastructure Partners AG,UNPRI,General,IQ278302026,Energy Infrastructure Partners AG,CH,Financials,Energy Infrastructure Partners AG,1,1,CH,TRUE
2358,Energy Power Partners,UNPRI,General,IQ117791045,"Energy Power Partners, LLC",US,Financials,"Energy Power Partners, LLC",1,1,US,TRUE
446,Energy Transition Capital,Ceres Investor Network on Climate Risk and Sustainability,General,IQ715967840,Energy Transition Capital B.V.,NL,0,Energy Transition Capital B.V.,1,1,,
2359,Energy Transition International Capital,UNPRI,General,,(Invalid Identifier),(Invalid Identifier),(Invalid Identifier),(Invalid Identifier),1,1,FR,FALSE
2360,Engagement International,UNPRI,General,IQ686716545,Engagement International Aps,DK,Industrials,Engagement International Aps,2,2,DK,TRUE
6309,Engagement International,CA100+,Climate change,IQ686716545,Engagement International Aps,DK,Industrials,Engagement International Aps,2,2,DK,TRUE
10554,Engevity,Investor Group on Climate Change,,IQ7925089,Engevity Inc,0,0,Engevity Inc,1,1,,
447,Engine No. 1,Ceres Investor Network on Climate Risk and Sustainability,General,IQ696705138,Engine No.1 LLC,US,Financials,Engine No. 1 LP,3,3,,
2361,Engine No. 1,UNPRI,General,IQ696705138,Engine No.1 LLC,US,Financials,Engine No. 1 LP,3,3,US,TRUE
6529,Engine No. 1,CA100+,Climate change,IQ696705138,Engine No.1 LLC,US,Financials,Engine No. 1 LP,3,3,US,TRUE
2362,Enhanced Capital,UNPRI,General,IQ1546814,"Enhanced Capital Partners, LLC",US,Financials,"Enhanced Capital Partners, LLC",2,2,US,TRUE
10224,Enhanced Capital,Global Impact Investment Network,,IQ1546814,"Enhanced Capital Partners, LLC",US,Financials,"Enhanced Capital Partners, LLC",2,2,,
2363,Enhanced Investment Products Limited,UNPRI,General,IQ52669529,"Enhanced Investment Products, Limited",HK,Financials,"Enhanced Investment Products, Limited",1,1,HK,TRUE
2364,ENION VENTURE PARTNERS SGEIC,UNPRI,General,IQ1770311923,"Enion Venture Partners SGEIC, SA",ES,Financials,"Enion Venture Partners SGEIC, SA",1,1,ES,TRUE
2365,Entangled Capital SGR,UNPRI,General,IQ651958816,Entangled Capital SGR S.p.A.,IT,Financials,Entangled Capital SGR S.p.A.,1,1,IT,TRUE
6530,Ente Nazionale di Previdenza e Assistenza per gli Psicologi,CA100+,Climate change,,(Invalid Identifier),(Invalid Identifier),(Invalid Identifier),(Invalid Identifier),1,1,IT,FALSE
2366,Ente Nazionale di Previdenza ed Assistenza per gli Psicologi - ENPAP,UNPRI,General,,(Invalid Identifier),(Invalid Identifier),(Invalid Identifier),(Invalid Identifier),1,1,IT,FALSE
2367,Entelligent,UNPRI,General,IQ534594333,Entelligent,US,0,Entelligent,1,1,US,TRUE
2368,Enter Fonder AB,UNPRI,General,IQ250226953,Enter Fonder AB,SE,Financials,Pareto AS,1,2,SE,TRUE
10225,Enterprise Community Partners,Global Impact Investment Network,,IQ4303311,"Enterprise Community Partners, Inc.",US,Industrials,"Enterprise Community Partners, Inc.",1,1,,
2369,Enterprising Finance,UNPRI,General,IQ707533518,Enterprising Finance,NL,0,Enterprising Finance,1,1,NL,TRUE
2370,Entrepreneur First,UNPRI,General,IQ252083789,Entrepreneur First Operations Limited,GB,Financials,Entrepreneur First Operations Limited,1,1,GB,TRUE
8362,Entreprises pour l’Environnement,TNFD Forum,Climate Change,,(Invalid Identifier),(Invalid Identifier),(Invalid Identifier),(Invalid Identifier),1,1,,
2371,Entropics Asset Management,UNPRI,General,IQ304773195,Entropics Asset Management AB,SE,Financials,Entropics Asset Management AB,1,1,SE,TRUE
8363,Envance,TNFD Forum,Climate Change,IQ235063589,"Envance Technologies, LLC",US,Materials,American Vanguard Corporation,1,1,,
2372,"Envestnet, Inc.",UNPRI,General,IQ100058833,"Envestnet, Inc.",US,Information Technology,"Envestnet, Inc.",1,1,US,TRUE
8364,Envirometrics.io,TNFD Forum,Climate Change,,(Invalid Identifier),(Invalid Identifier),(Invalid Identifier),(Invalid Identifier),1,1,,
2373,Environment Agency Pension Fund,UNPRI,General,IQ546663600,Environment Agency Pension Fund,GB,Financials,Environment Agency Pension Fund,6,6,GB,TRUE
6310,Environment Agency Pension Fund,CA100+,Climate change,IQ546663600,Environment Agency Pension Fund,GB,Financials,Environment Agency Pension Fund,6,6,GB,TRUE
8365,Environment Agency Pension Fund,TNFD Forum,Climate Change,IQ546663600,Environment Agency Pension Fund,GB,Financials,Environment Agency Pension Fund,6,6,,
